title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T27125/2022,Dunkirk Estate,DUNKIRK ESTATE,152,0,,,Dunkirk Estate,Ashwood,1,2022-06-10,2022-08-04,3495000,393,8893,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST23757/2022,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,10,Dunkirk Estate,,,2022-03-15,2022-07-13,2300000,113,20353,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST21743/2022,Dunkirk Estate,DUNKIRK ESTATE,180,0,SS THE GLADES,12,Dunkirk Estate,,,,2022-06-24,0,191,0,False,natural_person,natural_person,1,sectional_title,False,lightstone_export
T21384/2022,Dunkirk Estate,DUNKIRK ESTATE,85,0,,,Dunkirk Estate,Sameja,85,2022-02-09,2022-06-21,8700000,1108,7851,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST20547/2022,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,20,Dunkirk Estate,Sameja,96,2022-03-28,2022-06-15,3850000,209,18421,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T20470/2022,Dunkirk Estate,DUNKIRK ESTATE,160,0,,,Dunkirk Estate,Ashwood,9,2022-02-01,2022-06-15,3150000,613,5138,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T18214/2022,Dunkirk Estate,DUNKIRK ESTATE,56,0,,,Dunkirk Estate,Boundary,56,2022-01-24,2022-05-31,9425000,1427,6604,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST16838/2022,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,1,Dunkirk Estate,,,2022-03-24,2022-05-26,2700000,113,23893,False,natural_person,legal_entity,3,sectional_title,True,lightstone_export
T16395/2022,Dunkirk Estate,DUNKIRK ESTATE,77,0,,,Dunkirk Estate,Forest,77,2022-02-16,2022-05-25,5750000,377,15251,False,natural_person,natural_person,2,freehold,True,lightstone_export
T16223/2022,Dunkirk Estate,DUNKIRK ESTATE,141,0,,,Dunkirk Estate,Sameja,141,2022-03-02,2022-05-24,7550000,804,9390,False,natural_person,legal_entity,1,freehold,True,lightstone_export
ST10249/2022,Dunkirk Estate,DUNKIRK ESTATE,208,0,SS SAXONWOOD,2,Dunkirk Estate,,,2022-01-25,2022-04-04,6700000,429,15617,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T8930/2022,Dunkirk Estate,DUNKIRK ESTATE,209,0,,,Dunkirk Estate,Sameja,117,,2022-03-24,0,4306,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
T6407/2022,Dunkirk Estate,DUNKIRK ESTATE,119,0,,,Dunkirk Estate,Sameja,118,2021-12-21,2022-03-01,7000000,1638,4273,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST4462/2022,Dunkirk Estate,DUNKIRK ESTATE,208,0,SS SAXONWOOD,8,Dunkirk Estate,,,2021-12-31,2022-02-15,7400000,433,17090,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST2945/2022,Dunkirk Estate,DUNKIRK ESTATE,22,0,SS EDGE VIEW,2,Dunkirk Estate,Hillside,22,2021-10-17,2022-02-02,4950000,311,15916,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T2257/2022,Dunkirk Estate,DUNKIRK ESTATE,44,0,,,Dunkirk Estate,Glades,44,2021-09-14,2022-01-28,2500000,1531,1632,True,legal_entity,legal_entity,1,freehold,False,lightstone_export
